sku,department,category,brand,name,image_1,image_2,image_3,image_4,correct_images
6QN29A#BGJ,Impresión,,HP,"Impresora HP Color LaserJet Enterprise MFP 5800dn",https://sedvirtual.sedcolombia.com.co/stockimages/HP-6QN29A#BGJ-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-6QN29A#BGJ-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-6QN29A#BGJ-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-6QN29A#BGJ-4.jpg,0
12JF009GLS,Computadores,PC's,LENOVO," PC SFF Lenovo NEO 50s Intel i5-13400 16G 512GB SSD Windows 11P 3Y",,,,,4
1YXMR,Computadores,Portátiles,DELL,"Portátil Dell 7450 Latitude 14' Intel Ultra 7 165U 16GB 512SSD Windows 11 Pro 3Y",,,,,4
21JL001NLM,Computadores,Portátiles,LENOVO,"Portátil Lenovo Thinkpad E14  14' Intel I5-1335U 16GB 512GB SSD Windows 11P  3Y",,,,,4
32A4K,"Televisores y Monitores",Televisores,HISENSE,"TV Hisense 32' LED HD Smart TV 32A4K",,,,,4
460-BDSW,Accesorios,Morrales,DELL,"Maletin Dell Negro EcoLoop",https://sedvirtual.sedcolombia.com.co/stockimages/DELL-460-BDSW-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-460-BDSW-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-460-BDSW-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-460-BDSW-4.jpg,0
70A6K,"Televisores y Monitores",Televisores,HISENSE,"TV Hisense 70' LED UHD 4K Smart TV 70A6K",,,,,4
75A6K,"Televisores y Monitores",Televisores,HISENSE,"TV Hisense 75' LED UHD 4K Smart TV 75A6K",,,,,4
9H.F86TC.DA1,"Televisores y Monitores",Monitores,BENQ,"Pantalla Interactiva BenQ 75' RE7503 UHD 4K 3Y",https://sedvirtual.sedcolombia.com.co/stockimages/BENQ-9H.F86TC.DA1-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/BENQ-9H.F86TC.DA1-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/BENQ-9H.F86TC.DA1-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/BENQ-9H.F86TC.DA1-4.jpg,0
9H.JF878.N4L,Proyectores,"Accesorio proyectores",BENQ,"InstaShow BenQ WDC10",,,,,4
9H.JND77.1HL,Proyectores,Proyectores,BENQ,"Proyector BenQ Lampara M560 4000 Lumens SVGA 3y",https://sedvirtual.sedcolombia.com.co/stockimages/BENQ-9H.JND77.1HL-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/BENQ-9H.JND77.1HL-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/BENQ-9H.JND77.1HL-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/BENQ-9H.JND77.1HL-4.jpg,0
9H.JNN77.15L,Proyectores,,BENQ,"Proyector Laser LU935 DLP 6000 Lumenes, tiro regular",,,,https://sedvirtual.sedcolombia.com.co/stockimages/BENQ-9H.JNN77.15L-4.jpg,3
AUSDX256GUI3V30SHA2-RA1,Almacenamiento,"Memoria Micro SD",ADATA,"Memoria Microsd Adata A2-V30 256GB Video vigilancia",,,,https://sedvirtual.sedcolombia.com.co/stockimages/ADATA-AUSDX256GUI3V30SHA2-RA1-4.jpg,3
C11CK23301,Impresión,Multifuncional,EPSON,"Impresora MFP Epson WF-C5890 Workforce Color",,,,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-C11CK23301-4.jpg,3
